full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank
1ppm/1ppmLog,1ppmLog,"Release one side project per month, log your results here!",347,137,,1ppm,1PPM Club,User,Global,,,,,60.0
ggomaeng/better-developer-quotes,better-developer-quotes,💡 A compilation of answers I received from other developers when I asked them--'How do I become a better developer?',346,26,,ggomaeng,Sung Woo Park,User,"Los Angeles, CA",34.0522342,-118.24368490000002,Los Angeles,United States,61.0
jirengu/frontend-interview,frontend-interview,前端笔试面试题题库,299,36,,jirengu,饥人谷,User,杭州,30.274084999999996,120.15507,Hangzhou,China,72.0
LineageOS/android,android,Misc Android stuff,296,32,,LineageOS,Lineage Android Distribution,Organization,,,,,,73.0
Geekbang/ArchSummit,ArchSummit,ArchSummit全球架构师峰会,269,101,,Geekbang,极客邦科技,Organization,Beijing,39.904211,116.407395,Beijing,China,89.5
duffn/dumb-password-rules,dumb-password-rules,Shaming sites with dumb password rules.,204,30,,duffn,Nicholas Duffy,User,"Colorado, USA",39.55005070000001,-105.78206740000002,,United States,111.0
mafintosh/awesome-p2p,awesome-p2p,List of great p2p resources,171,5,,mafintosh,Mathias Buus,User,"Copenhagen, Denmark",55.676096799999996,12.568337099999999,Copenhagen,Denmark,139.5
php-pds/skeleton,skeleton,Standard PHP package skeleton.,152,5,,php-pds,,Organization,,,,,,159.0
gradiuscypher/infosec_getting_started,infosec_getting_started,A collection of resources/documentation/links/etc to help people learn about Infosec and break into the field.,147,19,,gradiuscypher,gradius,User,Internet Spaceship,,,,,165.5
paf31/24-days-of-purescript-2016,24-days-of-purescript-2016,"24 Days of PureScript, 2016",140,3,,paf31,Phil Freeman,User,"Los Angeles, CA",34.0522342,-118.24368490000002,Los Angeles,United States,172.0
hindupuravinash/nips2016,nips2016,"A list of resources for all invited talks, tutorials, workshops and presentations at NIPS 2016",133,14,,hindupuravinash,Avinash Hindupur,User,,,,,,175.0
DxF5H/lightbox,lightbox,Simple lightbox script without dependencies (not even jQuery).,125,10,,DxF5H,Benjamin,User,Kassel,51.3127114,9.4797461,Kassel,Germany,181.5
passy/awesome-recursion-schemes,awesome-recursion-schemes,Resources for learning and using recursion schemes.,123,1,,passy,Pascal Hartig,User,"London, UK",51.5073509,-0.12775830000000002,London,United Kingdom,184.5
kendricktan/non-overwhelming-machine-learning,non-overwhelming-machine-learning,A (non overwhelming) list of Machine Learning resources for beginners,123,6,,kendricktan,Kendrick Tan,User,"Brisbane, Australia",-27.469770699999998,153.0251235,Brisbane,Australia,184.5
manasthakur/learn-vim,learn-vim,Learn the (arguably) best text-editor on the planet.,115,6,,manasthakur,Manas Thakur,User,"Chennai, India",13.0826802,80.2707184,Chennai,India,194.5
amitshekhariitbhu/awesome-android-things,awesome-android-things,"A curated list of awesome android things tutorials, libraries and much more at one place",113,15,,amitshekhariitbhu,AMIT SHEKHAR,User,"New Delhi, India",28.6139391,77.20902120000001,New Delhi,India,198.5
Miserlou/Mackenzie,Mackenzie,AWS Lambda Infection Toolkit // Persistent Lambda Malware PoC,102,0,,Miserlou,Rich Jones,User,/dev/null,,,,,213.0
aviaryan/awesome-no-login-web-apps,awesome-no-login-web-apps,:star2: Awesome (free) web apps that work without login,100,20,,aviaryan,Avi Aryan,User,"Gandhinagar, India",23.2156354,72.63694149999998,Gandhinagar,India,218.5
